                                   Expected
      From         To  Frequency  Frequency
========== ========== ========== ==========
  -5.00000   -4.75000          6          0
  -4.75000   -4.50000          5          0
  -4.50000   -4.25000         17          0
  -4.25000   -4.00000         31          1
  -4.00000   -3.75000         69          4
  -3.75000   -3.50000        130          9
  -3.50000   -3.25000        272         22
  -3.25000   -3.00000        465         49
  -3.00000   -2.75000        777        104
  -2.75000   -2.50000       1659        207
  -2.50000   -2.25000       1830        385
  -2.25000   -2.00000       2375        674
  -2.00000   -1.75000       2937       1108
  -1.75000   -1.50000       3184       1712
  -1.50000   -1.25000       3436       2486
  -1.25000   -1.00000       3642       3392
  -1.00000   -0.75000       3497       4350
  -0.75000   -0.50000       4157       5242
  -0.50000   -0.25000       2922       5936
  -0.25000    0.00000       2641       6317
   0.00000    0.25000       2498       6317
   0.25000    0.50000       2483       5936
   0.50000    0.75000       2530       5242
   0.75000    1.00000       2490       4350
   1.00000    1.25000       2586       3392
   1.25000    1.50000       2669       2486
   1.50000    1.75000       3428       1712
   1.75000    2.00000       2378       1108
   2.00000    2.25000       2109        674
   2.25000    2.50000       1805        385
   2.50000    2.75000       1443        207
   2.75000    3.00000       1125        104
   3.00000    3.25000        818         49
   3.25000    3.50000        561         22
   3.50000    3.75000        512          9
   3.75000    4.00000        210          4
   4.00000    4.25000        134          1
   4.25000    4.50000         75          0
   4.50000    4.75000         50          0
   4.75000    5.00000         44          0

Data outside histogram range is put in first or last bucket.
